OverallQual,GrLivArea,GarageCars,TotalBsmtSF,Distance_to_Center_km,SalePrice
7,1710,2,856,4.627377490647609,208500
6,1262,2,1262,2.316578362492269,181500
7,1786,2,920,4.627377490647609,223500
7,1717,3,756,1.048068317716933,140000
8,2198,3,1145,2.9432054460961647,250000
5,1362,2,796,5.200121457077006,143000
8,1694,2,1686,2.551752247260381,307000
7,2090,2,1107,1.6719263208786876,200000
7,1774,2,952,1.3726961123059214,129900
5,1077,1,991,0.5187600665899484,118000
5,1040,1,1040,4.157797236367621,129500
9,2324,3,1175,3.794536871501749,345000
5,912,1,912,4.157797236367621,144000
7,1494,3,1494,4.627377490647609,279500
6,1253,1,1253,2.0296288069418313,157000
7,854,2,832,0.5187600665899484,132000
6,1004,2,1004,2.0296288069418313,149000
4,1296,2,0,4.157797236367621,90000
5,1114,2,1114,4.416604782172292,159000
5,1339,1,1029,2.0296288069418313,139000
8,2376,3,1158,3.794536871501749,325300
7,1108,1,637,1.1995424445240626,139400
8,1795,2,1777,4.627377490647609,230000
5,1060,2,1040,4.970532004949323,129900
5,1060,1,1060,4.157797236367621,154000
8,1600,3,1566,3.794536871501749,256300
5,900,2,900,2.0296288069418313,134800
8,1704,3,1704,3.794536871501749,306000
5,1600,1,1484,2.0296288069418313,207500
4,520,1,520,0.5187600665899484,68500
4,1317,1,649,1.1995424445240626,40000
5,1228,1,1228,4.157797236367621,149350
8,1234,2,1234,4.627377490647609,179900
5,1700,2,1398,2.0296288069418313,165500
9,1561,2,1561,3.794536871501749,277500
8,2452,3,1117,3.794536871501749,309000
5,1097,2,1097,4.627377490647609,145000
5,1297,2,1297,2.0296288069418313,153000
5,1057,1,1057,2.0296288069418313,109000
4,1152,0,0,2.718495431716996,82000
6,1324,2,1088,2.0296288069418313,160000
5,1328,1,1350,3.9643611989329,170000
5,884,2,840,4.416604782172292,144000
5,938,1,938,4.627377490647609,130250
5,1150,1,1150,2.0296288069418313,141000
9,1752,2,1752,3.794536871501749,319900
7,2149,2,1434,5.200121457077006,239686
8,1656,3,1656,2.551752247260381,249700
4,1452,0,736,1.3726961123059214,113000
5,955,1,955,4.157797236367621,127000
6,1470,2,794,8.707692615489496,177000
6,1176,2,816,0.5187600665899484,114500
5,816,2,816,1.1995424445240626,110000
9,1842,3,1842,2.316578362492269,385000
5,1360,2,384,2.0296288069418313,130000
6,1425,2,1425,2.0296288069418313,180500
8,1739,2,970,2.551752247260381,172500
7,1720,2,860,4.627377490647609,196500
10,2945,3,1410,3.2826187011010863,438780
5,780,1,780,4.627377490647609,124900
6,1158,2,1158,4.416604782172292,158000
5,1111,1,530,1.1995424445240626,101000
8,1370,2,1370,3.794536871501749,202500
7,1710,2,576,1.3726961123059214,140000
7,2034,2,1057,4.627377490647609,219500
8,2473,3,1143,3.794536871501749,317000
7,2207,2,1947,2.0296288069418313,180000
7,1479,2,1453,4.627377490647609,226000
4,747,1,747,1.3726961123059214,80000
7,2287,2,1304,3.6102330645203202,225000
7,2223,2,2223,2.0296288069418313,244000
4,845,2,845,5.200121457077006,129500
7,1718,2,832,8.707692615489496,185000
5,1086,2,1086,2.0296288069418313,144900
3,1605,1,840,1.3726961123059214,107400
4,988,1,462,4.970532004949323,91000
4,952,1,952,2.0296288069418313,135750
5,1285,1,672,0.5187600665899484,127000
4,1768,0,1768,4.157797236367621,136500
5,1230,2,440,1.3726961123059214,110000
6,2142,1,896,2.0296288069418313,193500
6,1337,2,1237,5.200121457077006,153500
8,1563,3,1563,2.551752247260381,245000
5,1065,2,1065,2.0296288069418313,126500
7,1474,2,384,8.707692615489496,168500
8,2417,2,1288,2.9432054460961647,260000
6,1560,2,684,8.707692615489496,174000
6,1224,2,612,2.551752247260381,164500
3,1526,0,1013,1.1995424445240626,85000
4,990,0,990,4.627377490647609,123600
4,1040,2,0,2.0296288069418313,109900
5,1235,2,1235,2.0296288069418313,98600
5,964,2,876,1.048068317716933,163500
6,2291,2,1214,1.3726961123059214,133900
6,1786,2,824,4.627377490647609,204750
6,1470,2,680,8.707692615489496,185000
7,1588,2,1588,4.627377490647609,214000
4,960,1,960,2.718495431716996,94750
5,835,1,458,2.718495431716996,83000
4,1225,0,950,2.0296288069418313,128950
6,1610,2,1610,1.6719263208786876,205000
6,1732,2,741,4.416604782172292,178000
5,1535,2,0,4.416604782172292,118964
7,1226,3,1226,4.627377490647609,198900
7,1818,1,1040,1.1995424445240626,169500
8,1992,2,1053,2.551752247260381,250000
4,1047,1,641,1.3726961123059214,100000
5,789,1,789,1.3726961123059214,115000
5,1517,0,793,1.1995424445240626,115000
6,1844,2,1844,1.6719263208786876,190000
6,1855,1,994,2.718495431716996,136900
7,1430,2,384,8.707692615489496,180000
7,2696,3,1264,4.627377490647609,383970
6,2259,2,1809,1.048068317716933,217000
6,2320,1,1028,1.048068317716933,259500
6,1458,2,729,2.551752247260381,176000
5,1092,1,1092,4.157797236367621,139000
5,1125,2,1125,2.718495431716996,155000
7,3222,3,1673,4.416604782172292,320000
6,1456,2,728,4.627377490647609,163990
6,988,2,938,3.6102330645203202,180000
4,1123,1,732,1.1995424445240626,100000
6,1080,1,1080,2.0296288069418313,136000
6,1199,2,1199,4.416604782172292,153900
6,1586,2,1362,1.6719263208786876,181000
6,754,0,520,1.1995424445240626,84500
6,958,2,1078,2.2311694353001195,128000
5,840,0,672,1.3726961123059214,87000
6,1348,2,660,2.0296288069418313,155000
5,1053,2,1008,2.0296288069418313,150000
7,2157,2,924,2.0296288069418313,226000
6,2054,2,992,8.707692615489496,244000
5,1327,2,1063,2.0296288069418313,150750
8,1296,2,1267,3.9643611989329,220000
5,1721,2,1461,4.157797236367621,180000
7,1682,2,1304,1.6719263208786876,174000
5,1214,1,1214,2.0296288069418313,143000
7,1959,3,1907,5.200121457077006,171000
8,1852,3,1004,4.627377490647609,230000
6,1764,2,928,4.627377490647609,231500
4,864,0,864,2.0296288069418313,115000
7,1734,2,1734,4.627377490647609,260000
5,1385,2,910,2.0296288069418313,166000
7,1501,2,1490,4.627377490647609,204000
5,1728,2,1728,4.157797236367621,125000
6,1709,2,970,2.718495431716996,130000
5,875,1,715,0.5187600665899484,105000
7,2035,2,884,8.707692615489496,222500
7,1080,0,1080,4.416604782172292,141000
5,1344,1,896,0.5187600665899484,115000
5,969,2,969,4.627377490647609,122000
8,1710,3,1710,3.794536871501749,372402
6,1993,2,825,1.6719263208786876,190000
6,1252,2,1602,3.6102330645203202,235000
6,1200,1,1200,1.3726961123059214,125000
6,1096,0,572,2.718495431716996,79000
5,1040,2,0,2.0296288069418313,109500
8,1968,3,774,3.9643611989329,269500
7,1947,2,991,2.551752247260381,254900
7,2462,2,1392,8.707692615489496,320000
6,1232,2,1232,2.316578362492269,162500
9,2668,3,1572,3.794536871501749,412500
7,1541,2,1541,3.794536871501749,220000
4,882,0,882,1.3726961123059214,103200
6,1616,1,1149,1.3726961123059214,152000
5,1355,0,644,2.718495431716996,127500
5,1867,1,1617,3.6102330645203202,190000
8,2161,3,1582,3.794536871501749,325624
7,1720,2,840,8.707692615489496,183500
8,1707,2,1686,3.9643611989329,228000
5,1382,2,720,1.3726961123059214,128500
6,1656,2,1080,2.0296288069418313,215000
7,1767,2,1064,3.2826187011010863,239000
6,1362,2,1362,2.0296288069418313,163000
6,1651,2,1606,3.9643611989329,184000
6,2158,2,1202,2.718495431716996,243000
6,2060,2,1151,3.6102330645203202,211000
5,1920,2,1052,4.157797236367621,172500
9,2234,3,2216,3.2826187011010863,501837
5,968,2,968,1.3726961123059214,100000
6,1525,2,756,2.551752247260381,177000
7,1802,1,793,1.048068317716933,200100
5,1340,1,0,2.718495431716996,120000
7,2082,2,1362,1.3726961123059214,200000
5,1252,2,504,0.5187600665899484,127000
10,3608,3,1107,1.3726961123059214,475000
7,1217,2,1188,5.200121457077006,173000
5,1656,1,660,1.3726961123059214,135000
5,1224,2,1086,4.416604782172292,153337
8,1593,2,1593,3.2826187011010863,286000
8,2727,2,853,1.048068317716933,315000
7,1479,2,725,2.0296288069418313,184000
7,1431,2,1431,4.627377490647609,192000
7,1709,2,970,2.718495431716996,130000
5,864,1,864,4.627377490647609,127000
6,1456,2,855,2.2311694353001195,148500
7,1726,3,1726,2.551752247260381,311872
8,3112,2,1360,2.0296288069418313,235000
6,2229,0,755,1.3726961123059214,104000
8,1713,3,1713,3.794536871501749,274900
4,1121,2,1121,2.718495431716996,140000
6,1279,2,1196,5.200121457077006,171500
6,1310,1,617,1.3726961123059214,112000
6,848,2,848,4.627377490647609,149000
